ParkName,partySize,RateType,BookingType,Equipment,
Battery,2,Full,CampsitePermit,Less than 20ft,
Rissers Beach,3,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Senior,CampsitePermit,Less than 30ft,
Caribou Munroes,1,Full,CampsitePermit,Tents,
Cape Chignecto,1,Full,BackcountryPermit,Single Tent,
Thomas Raddall,5,Full,CampsitePermit,Tents,
Porters Lake,4,Full,CampsitePermit,Less than 30ft,
Rissers Beach,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Graves Island,3,Full,CampsitePermit,Less than 30ft,
Graves Island,1,Full,CampsitePermit,Single Tent,
Dollar Lake,1,Full,CampsitePermit,Single Tent,
Caribou Munroes,6,Senior,CampsitePermit,Less than 30ft,
Porters Lake,3,Full,CampsitePermit,Less than 40ft,
Porters Lake,2,Full,CampsitePermit,Less than 20ft,
Dollar Lake,4,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,6,Full,CampsitePermit,Tents,
Dollar Lake,6,Full,CampsitePermit,Tents,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
The Islands,2,Senior,CampsitePermit,Less than 20ft,
Porters Lake,1,Full,CampsitePermit,Single Tent,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Smileys,1,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Full,CampsitePermit,Less than 20ft,
Blomidon,4,Veteran,CampsitePermit,Tents,
Dollar Lake,7,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Less than 30ft,
Dollar Lake,4,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 40ft,
Cape Chignecto,2,Full,BackcountryPermit,Single Tent,
Mira River,3,Full,CampsitePermit,Single Tent,
Graves Island,4,Full,CampsitePermit,Less than 40ft,
Rissers Beach,2,Senior,CampsitePermit,Less than 20ft,
Mira River,2,Full,CampsitePermit,Tents,
Mira River,4,Full,CampsitePermit,Less than 40ft,
Whycocomagh,6,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,3,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Laurie,4,Full,CampsitePermit,Less than 30ft,
Dollar Lake,2,Full,CampsitePermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Porters Lake,4,Full,CampsitePermit,Less than 30ft,
Dollar Lake,4,Veteran,CampsitePermit,Less than 20ft,
Graves Island,4,Full,CampsitePermit,Less than 20ft,
Laurie,4,Full,CampsitePermit,Less than 30ft,
Five Islands,2,Full,CampsitePermit,Single Tent,
Battery,1,Full,CampsitePermit,Less than 20ft,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
The Islands,2,Senior,CampsitePermit,Less than 20ft,
Rissers Beach,3,Full,CampsitePermit,Tents,
Graves Island,6,Full,CampsitePermit,Tents,
Thomas Raddall,2,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Battery,2,Full,CampsitePermit,Less than 20ft,
Blomidon,4,Full,CampsitePermit,Tents,
Thomas Raddall,3,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,1,Full,CampsitePermit,Single Tent,
Caribou Munroes,1,Full,CampsitePermit,Single Tent,
Blomidon,1,Senior,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Caribou Munroes,6,Full,CampsitePermit,Tents,
Whycocomagh,1,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Valleyview,2,Full,CampsitePermit,Less than 30ft,
Ellenwood Lake,5,Full,CampsitePermit,Tents,
Dollar Lake,3,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Cape Chignecto,2,Full,BackcountryPermit,Single Tent,
Five Islands,2,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Single Tent,
Dollar Lake,1,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Single Tent,
Porters Lake,2,Senior,CampsitePermit,Less than 30ft,
Five Islands,2,Full,CampsitePermit,Less than 30ft,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Valleyview,2,Full,CampsitePermit,Single Tent,
Graves Island,4,Full,CampsitePermit,Less than 30ft,
Amherst Shore,5,Full,CampsitePermit,Tents,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,4,Full,CampsitePermit,Single Tent,
Blomidon,2,Senior,CampsitePermit,Less than 20ft,
Mira River,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Less than 20ft,
Thomas Raddall,6,Senior,CampsitePermit,Less than 30ft,
Laurie,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Less than 30ft,
Smileys,3,Full,CampsitePermit,Less than 30ft,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Ellenwood Lake,5,Full,CampsitePermit,Single Tent,
Rissers Beach,2,FULL,CampsitePermit,Less than 30ft,
Amherst Shore,4,Senior,CampsitePermit,Less than 30ft,
Five Islands,3,Full,CampsitePermit,Single Tent,
Blomidon,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Blomidon,5,Full,CampsitePermit,Tents,
Rissers Beach,2,Full,CampsitePermit,Single Tent,
The Islands,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Single Tent,
Graves Island,1,Full,CampsitePermit,Single Tent,
Thomas Raddall,2,Full,CampsitePermit,Less than 30ft,
Amherst Shore,2,Full,CampsitePermit,Single Tent,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Five Islands,3,Full,CampsitePermit,Single Tent,
Porters Lake,6,Full,CampsitePermit,Tents,
Graves Island,2,Full,CampsitePermit,Less than 30ft,
Five Islands,3,Full,CampsitePermit,Single Tent,
Ellenwood Lake,2,Full,CampsitePermit,Single Tent,
Amherst Shore,3,Full,CampsitePermit,Tents,
Graves Island,4,Veteran,CampsitePermit,Less than 20ft,
Caribou Munroes,3,Full,CampsitePermit,Less than 20ft,
Ellenwood Lake,5,Full,CampsitePermit,Less than 20ft,
Dollar Lake,6,Full,CampsitePermit,Single Tent,
Blomidon,2,Full,CampsitePermit,Less than 30ft,
Whycocomagh,2,Senior,CampsitePermit,Less than 30ft,
Graves Island,4,Senior,CampsitePermit,Less than 20ft,
Amherst Shore,4,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Less than 20ft,
Valleyview,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,3,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Senior,CampsitePermit,Less than 20ft,
Dollar Lake,3,Full,CampsitePermit,Single Tent,
Thomas Raddall,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,2,Full,CampsitePermit,Single Tent,
Blomidon,6,Full,CampsitePermit,Tents,
Dollar Lake,4,Full,CampsitePermit,Less than 20ft,
Mira River,4,Full,CampsitePermit,Less than 40ft,
Blomidon,1,Full,CampsitePermit,Single Tent,
Smileys,2,Full,CampsitePermit,Single Tent,
Rissers Beach,3,Full,CampsitePermit,Less than 30ft,
Smileys,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Less than 30ft,
Thomas Raddall,3,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Full,CampsitePermit,Greater than 40ft,
Five Islands,4,Full,CampsitePermit,Tents,
Boylston,4,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Senior,CampsitePermit,Less than 20ft,
Whycocomagh,2,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,3,Full,CampsitePermit,Single Tent,
Porters Lake,1,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 30ft,
Rissers Beach,2,Senior,CampsitePermit,Less than 20ft,
Blomidon,2,Full,CampsitePermit,Single Tent,
Battery,3,Full,CampsitePermit,Single Tent,
Rissers Beach,2,Senior,CampsitePermit,Less than 30ft,
Caribou Munroes,2,Full,CampsitePermit,Tents,
Whycocomagh,3,Full,CampsitePermit,Less than 20ft,
Graves Island,2,Full,CampsitePermit,Less than 40ft,
Rissers Beach,4,Full,CampsitePermit,Tents,
Mira River,2,Full,CampsitePermit,Single Tent,
Mira River,2,Full,CampsitePermit,Less than 20ft,
Porters Lake,6,Full,CampsitePermit,Tents,
Rissers Beach,6,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,4,Full,CampsitePermit,Tents,
Blomidon,2,Full,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Tents,
Thomas Raddall,3,Full,CampsitePermit,Single Tent,
Rissers Beach,4,Full,CampsitePermit,Less than 20ft,
Valleyview,2,Senior,CampsitePermit,Single Tent,
Mira River,4,Full,CampsitePermit,Less than 20ft,
Laurie,3,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Amherst Shore,3,Full,CampsitePermit,Single Tent,
Whycocomagh,2,Full,CampsitePermit,Less than 20ft,
Laurie,4,Full,CampsitePermit,Single Tent,
Porters Lake,2,Full,CampsitePermit,Single Tent,
Mira River,5,Full,CampsitePermit,Less than 20ft,
Five Islands,4,Senior,CampsitePermit,Single Tent,
Caribou Munroes,4,Full,CampsitePermit,Less than 30ft,
